Date,Country,Confirmed,Recovered,Deaths
44052,Turkey,240804,223759,5844
44053,Turkey,241997,224970,5858
44054,Turkey,243180,226155,5873
44055,Turkey,244392,227089,5891
44056,Turkey,245635,228057,5912
44057,Turkey,246861,228980,5934
44058,Turkey,248117,229972,5955
44059,Turkey,249309,230969,5974
44060,Turkey,250542,231971,5996
44061,Turkey,251805,232913,6016
44062,Turkey,253108,233915,6039
44063,Turkey,254520,234797,6058
44064,Turkey,255723,235569,6080
44065,Turkey,257032,236370,6102
44066,Turkey,258249,237165,6121
44067,Turkey,259692,237908,6139
44068,Turkey,261194,238795,6163
44069,Turkey,262507,239797,6183
44070,Turkey,263998,240792,6209
44071,Turkey,265515,241809,6245
44072,Turkey,267064,242812,6284
44073,Turkey,268546,243839,6326
44074,Turkey,270133,244926,6370
44075,Turkey,271705,245929,6417
44076,Turkey,273301,246876,6462
44077,Turkey,274943,248087,6511
44078,Turkey,276555,249108,6564
44079,Turkey,278228,250092,6620
44080,Turkey,279806,251105,6673
44081,Turkey,281509,252152,6730
44082,Turkey,283270,253245,6782
44083,Turkey,284943,254188,6837
44084,Turkey,286455,255407,6895
44085,Turkey,288126,256524,6951
44086,Turkey,289635,257731,6999
44087,Turkey,291162,258833,7056
44088,Turkey,292878,260058,7119
44089,Turkey,294620,261260,7186
44090,Turkey,296391,262602,7249
44091,Turkey,298039,263745,7315
44092,Turkey,299810,264805,7377
44093,Turkey,301348,266117,7445
44094,Turkey,302867,267233,7506
44095,Turkey,304610,268435,7574
44096,Turkey,306302,269696,7639
44097,Turkey,308069,270723,7711
44098,Turkey,309790,271964,7785
44099,Turkey,311455,273282,7858
44100,Turkey,312966,274514,7929
44101,Turkey,314433,275630,7997
44102,Turkey,315845,277052,8062
44103,Turkey,317272,278504,8130
44104,Turkey,318663,279749,8195
44105,Turkey,320070,281151,8262
44106,Turkey,321512,282657,8325
44107,Turkey,323014,283868,8384
44108,Turkey,324443,285050,8441
44109,Turkey,326046,286370,8498
44110,Turkey,327557,287599,8553
44111,Turkey,329138,288954,8609
44112,Turkey,330753,290352,8667
44113,Turkey,332382,291754,8722
44114,Turkey,334031,293145,8778
44115,Turkey,335533,294357,8837
44116,Turkey,337147,295658,8895
44117,Turkey,338779,296972,8957
44118,Turkey,340450,298368,9014
44119,Turkey,342143,299679,9080
44120,Turkey,343955,301098,9153
44121,Turkey,345678,302499,9224
44122,Turkey,347493,304003,9296
44123,Turkey,349519,305427,9371
44124,Turkey,351413,306939,9445
44125,Turkey,353426,308446,9513
44126,Turkey,355528,310027,9584
44127,Turkey,357693,311520,9658
44128,Turkey,359784,313093,9727
44129,Turkey,361801,314390,9799
44130,Turkey,363999,316008,9874
44131,Turkey,366208,317519,9950
44132,Turkey,368513,319181,10027
44133,Turkey,370832,320762,10099
44134,Turkey,373154,322465,10177
44135,Turkey,375367,323971,10252
44136,Turkey,377473,325486,10326
44137,Turkey,379775,327007,10402
44138,Turkey,382118,328824,10481
44139,Turkey,384509,330665,10558
44140,Turkey,386820,332379,10639
44141,Turkey,389256,334293,10722
44142,Turkey,391739,336221,10803
44143,Turkey,394255,338239,10887
44144,Turkey,396831,340286,10972
44145,Turkey,399360,342501,11059
44146,Turkey,402053,344613,11145
44147,Turkey,404894,346794,11233
44148,Turkey,407939,348804,11326
44149,Turkey,411055,351102,11418
44150,Turkey,414278,353663,11507
44151,Turkey,417594,356375,11601
44152,Turkey,421413,359063,11704
44153,Turkey,425628,361655,11820
44154,Turkey,430170,364573,11943
44155,Turkey,435273,367592,12084
44156,Turkey,440805,370825,12219
44157,Turkey,446822,374637,12358
44158,Turkey,453535,377891,12511
44159,Turkey,460916,381569,12672
44160,Turkey,467730,385480,12840
44161,Turkey,503738,388771,13014
44162,Turkey,548244,392616,13191
44163,Turkey,578347,396227,13373
44164,Turkey,607628,400242,13558
44165,Turkey,638847,404727,13746
44166,Turkey,668957,409320,13936
44167,Turkey,700880,414141,14129
44168,Turkey,733261,418331,14316
44169,Turkey,765997,423142,14509
44170,Turkey,797893,427242,14705
44171,Turkey,828295,431253,14900
44172,Turkey,860432,436270,15103
44173,Turkey,893630,441515,15314
44174,Turkey,925342,447361,15531
44175,Turkey,1748567,452593,15751
44176,Turkey,1780673,458109,15977
44177,Turkey,1809809,1581565,16199
44178,Turkey,1836728,1603780,16417
44179,Turkey,1866345,1631944,16646
44180,Turkey,1898447,1661191,16881
44181,Turkey,1928165,1691113,17121
44182,Turkey,1955680,1721607,17364
44183,Turkey,1982090,1753552,17610
44184,Turkey,2004285,1779068,17851
44185,Turkey,2024601,1800286,18097
44186,Turkey,2043704,1834705,18351
44187,Turkey,2062960,1866815,18602
44188,Turkey,2082610,1901307,18861
44189,Turkey,2100712,1935292,19115
44190,Turkey,2118255,1970803,19371
44191,Turkey,2133373,1994034,19624
44192,Turkey,2147578,2015230,19878
44193,Turkey,2162775,2037433,20135
44194,Turkey,2178580,2058437,20388
44195,Turkey,2194272,2078629,20642
44196,Turkey,2208652,2100650,20881
44197,Turkey,2220855,2114760,21093
44198,Turkey,2232035,2126432,21295
44199,Turkey,2241912,2136534,21488
44200,Turkey,2255607,2146430,21685
44201,Turkey,2270101,2155338,21879
44202,Turkey,2283931,2164040,22070
44203,Turkey,2296102,2172251,22264
44204,Turkey,2307581,2182145,22450
44205,Turkey,2317118,2190047,22631
44206,Turkey,2326256,2198150,22807
44207,Turkey,2336476,2208451,22981
44208,Turkey,2346285,2218464,23152
44209,Turkey,2355839,2227927,23325
44210,Turkey,2364801,2236938,23495
44211,Turkey,2373115,2246047,23664
44212,Turkey,2380665,2254052,23832
44213,Turkey,2387101,2262864,23997
44214,Turkey,2392963,2270769,24161
44215,Turkey,2399781,2277987,24328
44216,Turkey,2406216,2283919,24487
44217,Turkey,2412505,2290032,24640
44218,Turkey,2418472,2296050,24789
44219,Turkey,2424328,2301861,24933
44220,Turkey,2429605,2307721,25073
44221,Turkey,2435247,2314403,25210
44222,Turkey,2442350,2322511,25344
44223,Turkey,2449839,2331314,25476
44224,Turkey,2457118,2340216,25605
44225,Turkey,2464030,2348309,25736
44226,Turkey,2470901,2355409,25865
44227,Turkey,2477463,2362415,25993
44228,Turkey,2485182,2370431,26117
44229,Turkey,2492977,2379070,26237
44230,Turkey,2501079,2387384,26354
44231,Turkey,2508988,2396199,26467
44232,Turkey,2516889,2404416,26577
44233,Turkey,2524786,2412505,26685
44234,Turkey,2531456,2420706,26797
44235,Turkey,2539559,2429273,26900
44236,Turkey,2548195,2437382,26998
44237,Turkey,2556837,2445285,27093
44238,Turkey,2564427,2453096,27187
44239,Turkey,2572190,2461204,27284
44240,Turkey,2579896,2468419,27377
44241,Turkey,2586183,2475329,27471
44242,Turkey,2594128,2482435,27562
44243,Turkey,2602034,2489624,27652
44244,Turkey,2609359,2496833,27738
44245,Turkey,2616600,2504050,27821
44246,Turkey,2624019,2511548,27903
44247,Turkey,2631876,2518758,27983
44248,Turkey,2638422,2523760,28060
44249,Turkey,2646526,2529450,28138
44250,Turkey,2655633,2534996,28213
44251,Turkey,2665194,2540293,28285
44252,Turkey,2674766,2546503,28358
44253,Turkey,2683971,2556785,28432
44254,Turkey,2693164,2565723,28503
44255,Turkey,2701588,2572234,28569
44256,Turkey,2711479,2578181,28638
44257,Turkey,2723316,2586073,28706
44258,Turkey,2734836,2593264,28771
44259,Turkey,2746158,2601137,28839
44260,Turkey,2757460,2608848,28901
44261,Turkey,2769230,2616139,28965
