"Date","Confirmed","Recovered","Deaths","Active"
"7/4/2020","204610","179492","5206","19912"
"7/5/2020","205758","180680","5225","19853"
"7/6/2020","206844","182995","5241","18608"
"7/7/2020","207897","185292","5260","17345"
"7/8/2020","208938","187511","5282","16145"
"7/9/2020","209962","190390","5300","14272"
"7/10/2020","210965","191883","5323","13759"
"7/11/2020","211981","193217","5344","13420"
"7/12/2020","212993","194515","5363","13115"
"7/13/2020","214001","195671","5382","12948"
"7/14/2020","214993","196720","5402","12871"
"7/15/2020","215940","197733","5419","12788"
"7/16/2020","216873","198820","5440","12613"
"7/17/2020","217799","199834","5458","12507"
"7/18/2020","218717","201013","5475","12229"
"7/19/2020","219641","202010","5491","12140"
"7/20/2020","220572","203002","5508","12062"
"7/21/2020","221500","204011","5526","11963"
"7/22/2020","222402","205214","5545","11643"
"7/23/2020","223315","206365","5563","11387"
"7/24/2020","224252","207374","5580","11298"
"7/25/2020","225173","208477","5596","11100"
"7/26/2020","226100","209487","5613","11000"
"7/27/2020","227019","210469","5630","10920"
"7/28/2020","227982","211561","5645","10776"
"7/29/2020","228924","212557","5659","10708"
"7/30/2020","229891","213539","5674","10678"
"7/31/2020","230873","214535","5691","10647"
"8/1/2020","231869","215516","5710","10643"
"8/2/2020","232856","216494","5728","10634"
"8/3/2020","233851","217497","5747","10607"
"8/4/2020","234934","218491","5765","10678"
"8/5/2020","236112","219506","5784","10822"
"8/6/2020","237265","220546","5798","10921"
"8/7/2020","238450","221574","5813","11063"
"8/8/2020","239622","222656","5829","11137"
"8/9/2020","240804","223759","5844","11201"
"8/10/2020","241997","224970","5858","11169"
"8/11/2020","243180","226155","5873","11152"
"8/12/2020","244392","227089","5891","11412"
"8/13/2020","245635","228057","5912","11666"
"8/14/2020","246861","228980","5934","11947"
"8/15/2020","248117","229972","5955","12190"
"8/16/2020","249309","230969","5974","12366"
"8/17/2020","250542","231971","5996","12575"
"8/18/2020","251805","232913","6016","12876"
"8/19/2020","253108","233915","6039","13154"
"8/20/2020","254520","234797","6058","13665"
"8/21/2020","255723","235569","6080","14074"
"8/22/2020","257032","236370","6102","14560"
"8/23/2020","258249","237165","6121","14963"
"8/24/2020","259692","237908","6139","15645"
"8/25/2020","261194","238795","6163","16236"
"8/26/2020","262507","239797","6183","16527"
"8/27/2020","263998","240792","6209","16997"
"8/28/2020","265515","241809","6245","17461"
"8/29/2020","267064","242812","6284","17968"
"8/30/2020","268546","243839","6326","18381"
"8/31/2020","270133","244926","6370","18837"
"9/1/2020","271705","245929","6417","19359"
"9/2/2020","273301","246876","6462","19963"
"9/3/2020","274943","248087","6511","20345"
"9/4/2020","276555","249108","6564","20883"
"9/5/2020","278228","250092","6620","21516"
"9/6/2020","279806","251105","6673","22028"
"9/7/2020","281509","252152","6730","22627"
"9/8/2020","283270","253245","6782","23243"
"9/9/2020","284943","254188","6837","23918"
"9/10/2020","286455","255407","6895","24153"
"9/11/2020","288126","256524","6951","24651"
"9/12/2020","289635","257731","6999","24905"
"9/13/2020","291162","258833","7056","25273"
"9/14/2020","292878","260058","7119","25701"
"9/15/2020","294620","261260","7186","26174"
