1,61.41
2,94.55
3,212.64
4,264.27
5,163.12
6,216.7
7,247.68
8,131.38
9,255.82
10,141
11,102.23
12,200.2
13,219.62
14,91.25
15,264.92
16,259.24
17,122.09
18,132.2
19,282.72
20,170.73
21,207.97
22,233.59
23,196.44
24,218.25
25,155.92
26,86.97
27,222.66
28,204.53
29,145.76
30,270.02
31,303.58
32,245.83
33,134.83
34,236.9
35,187.01
36,89.84
37,72.2
38,153.99
39,211.44
40,359.99
41,161.92
42,91.68
43,222.48
44,216.54
45,227.78
46,340.08
47,261
48,243.99
49,287.23
50,189.27
51,132.36
52,297.76
53,228.09
54,273.46
55,205.05
56,145.25
57,62.36
58,84.71
59,132.9
60,95.11
61,254.79
62,203.83
63,260.97
64,79.12
65,270.94
66,197.67
67,189
68,78.23
69,167.24
70,234
71,66.89
72,36.08
73,318.48
74,224.13
75,198.55
76,123.44
77,132.09
78,71.95
79,197.07
80,204.25
81,309.37
